0A9Y9KRUR2_-,minimum_cut_value_left_to_right,0.027597169391013903,-0.14249324958186782,0.11909161478459016,4,None,None,False
0A9Y9KRUR2_-,maximum_flow_value_left_to_right,0.027597169391013903,-0.14249324958186782,0.11909161478459016,4,None,None,False
0A9Y9KRUR2_-,shortest_path_length_left_to_right,0.017631487380915342,-0.0044267509967082,0.020302641537962858,4,None,None,False
0A9Y9KRUR2_-,minimum_cut_value_left_to_right,0.027597169391013903,-0.14249324958186782,0.11909161478459016,4,None,left_to_right,False
0A9Y9KRUR2_-,maximum_flow_value_left_to_right,0.027597169391013903,-0.14249324958186782,0.11909161478459016,4,None,left_to_right,False
0A9Y9KRUR2_-,shortest_path_length_left_to_right,0.017631487380915342,-0.0044267509967082,0.020302641537962858,4,None,left_to_right,False
0A9Y9KRUR2_-,dag_longest_path_length,,,,4,None,left_to_right,False
0A9Y9KRUR2_-,minimum_cut_value_left_to_right,0.3991502769125581,0.34014579378026794,0.43906955014760485,4,slope,None,False
0A9Y9KRUR2_-,maximum_flow_value_left_to_right,0.3991502769125581,0.34014579378026794,0.43906955014760485,4,slope,None,False
0A9Y9KRUR2_-,shortest_path_length_left_to_right,,,,4,slope,None,False
03IP14OENV_Myo,minimum_cut_value_left_to_right,0.005455032918345823,-0.06607916307351655,0.09177952348929863,4,None,None,False
03IP14OENV_Myo,maximum_flow_value_left_to_right,0.005455032918345823,-0.06607916307351655,0.09177952348929863,4,None,None,False
03IP14OENV_Myo,shortest_path_length_left_to_right,0.003646014448944812,-0.004055066491041777,0.009582146611266402,4,None,None,False
0A9Y9KRUR2_-,minimum_cut_value_left_to_right,0.3991502769125581,0.34014579378026794,0.43906955014760485,4,slope,left_to_right,False
0A9Y9KRUR2_-,maximum_flow_value_left_to_right,0.3991502769125581,0.34014579378026794,0.43906955014760485,4,slope,left_to_right,False
0A9Y9KRUR2_-,shortest_path_length_left_to_right,0.9805950176100001,0.9810473434737118,0.9869677179450496,4,slope,left_to_right,False
0A9Y9KRUR2_-,dag_longest_path_length,0.3210531857849365,0.3301971371187308,0.35522374654861855,4,slope,left_to_right,False
01A7A67Q3U_Myo,minimum_cut_value_left_to_right,-0.02578825870303412,-0.08001149192027023,0.13646314829361755,4,None,None,False
